item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
openid4vci-1_0	OpenID Foundation — OpenID for Verifiable Credential Issuance 1.0	OpenID for Verifiable Credential Issuance 1.0	standard	in-force	OIDF grants a royalty-free licence to reproduce and distribute for specification development and implementation, with attribution	1.0	eng	https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html	2026-08-28	text/html	233519	b93e0a9bfac438c9740616f149e0278b24580bdc7d2089d5a641aa73bc812e7e
openid4vp-1_0	OpenID Foundation — OpenID for Verifiable Presentations 1.0	OpenID for Verifiable Presentations 1.0	standard	in-force	OIDF grants a royalty-free licence to reproduce and distribute for specification development and implementation, with attribution	1.0	eng	https://openid.net/specs/openid-4-verifiable-presentations-1_0.html	2026-08-28	text/html	226496	3f0b6cf1109c09567f7da6f0ea88df80a6a09e93b7d9cb6bbeebaa5b47a8312d
openid4vc-haip-1_0	OpenID Foundation — OpenID4VC High Assurance Interoperability Profile 1.0	OpenID4VC High Assurance Interoperability Profile 1.0	standard	in-force	OIDF grants a royalty-free licence to reproduce and distribute for specification development and implementation, with attribution	1.0	eng	https://openid.net/specs/openid4vc-high-assurance-interoperability-profile-1_0.html	2026-08-28	text/html	51970	c5a03032da9452d7803bc1f0a09b0573e8ee4e79fee47b4acaca384ccda04903
