item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
discussion-topics__aa-support-of-electronic-payments-SCA-with-wallet	EUDI ARF v3.0.0 — discussion-topics/aa-support-of-electronic-payments-SCA-with-wallet.md	AA - Support of Electronic Payments Customer Authentication (SCA) with the Wallet	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/aa-support-of-electronic-payments-SCA-with-wallet.md	2026-07-31	text/markdown	27871	bf98e0d5349809d22343ce723108ab4e122be42b7961858b8e28ad87e9994393
discussion-topics__ab-digital-signature-using-wallet	EUDI ARF v3.0.0 — discussion-topics/ab-digital-signature-using-wallet.md	Topic AB - Digital Signature using the EUDI Wallet (New)	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/ab-digital-signature-using-wallet.md	2026-07-31	text/markdown	49424	e1cf06d2298fa07cf8357e43dc17d0e1b5cbce2bfd1d2f6aa08a7e5722e67208
discussion-topics__b-re-issuance-and-batch-issuance-of-pids-and-attestations	EUDI ARF v3.0.0 — discussion-topics/b-re-issuance-and-batch-issuance-of-pids-and-attestations.md	B - Re-issuance and batch issuance of PIDs and Attestations	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/b-re-issuance-and-batch-issuance-of-pids-and-attestations.md	2026-07-31	text/markdown	33170	b1fb8ed6be97718f4d6cae5950670c26e652d755da1a2482c41e5c8e6633da53
discussion-topics__c-rr-wallet-unit-attestations	EUDI ARF v3.0.0 — discussion-topics/c-rr-wallet-unit-attestations.md	Topic C - Wallet Unit Attestations (WUA) (Revision Round)	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/c-rr-wallet-unit-attestations.md	2026-07-31	text/markdown	76728	02d49b93a1ba89efbae6dad01232cd4dd7804d1406079cdd34aa8dc039beeffd
discussion-topics__c-wallet-unit-attestation	EUDI ARF v3.0.0 — discussion-topics/c-wallet-unit-attestation.md	C - Wallet Unit Attestation (WUA) and Key Attestation	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/c-wallet-unit-attestation.md	2026-07-31	text/markdown	56295	941057412bb52d762f0fa50289df2f10c96c2d314009f7633f1cbf23c8893d6c
discussion-topics__d-embedded-disclosure-policies	EUDI ARF v3.0.0 — discussion-topics/d-embedded-disclosure-policies.md	D - Embedded Disclosure Policies	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/d-embedded-disclosure-policies.md	2026-07-31	text/markdown	12952	33c22f57c54869629e6ae45011122ffb2af14c8c436fa2acc9ff3adfe0d04259
discussion-topics__e-pseudonyms-including-user-authentication-mechanism	EUDI ARF v3.0.0 — discussion-topics/e-pseudonyms-including-user-authentication-mechanism.md	E - Pseudonyms, including User authentication mechanism	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/e-pseudonyms-including-user-authentication-mechanism.md	2026-07-31	text/markdown	70477	37802034e727216e51d7d82ae86533346e62fb7b9dd7857802224bdb1b120d63
discussion-topics__e-rr-pseudonyms-including-user-authentication-mechanism	EUDI ARF v3.0.0 — discussion-topics/e-rr-pseudonyms-including-user-authentication-mechanism.md	Topic E - Pseudonyms, including User authentication mechanism (Refinement Round)	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/e-rr-pseudonyms-including-user-authentication-mechanism.md	2026-07-31	text/markdown	53608	3b4319309c3d9c2c56f73221aab18bf0c69b2b6bd71fbbf83888270d27f2a7bd
discussion-topics__f-digital-credential-api	EUDI ARF v3.0.0 — discussion-topics/f-digital-credential-api.md	Topic F - Digital Credentials API	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/f-digital-credential-api.md	2026-07-31	text/markdown	39735	c39c4b51d2f46a1d5b72bcee85fc4ad036cdae2f70833a1fbd47e5e36d789d1f
discussion-topics__g-zero-knowledge-proof	EUDI ARF v3.0.0 — discussion-topics/g-zero-knowledge-proof.md	G - Zero Knowledge Proof	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/g-zero-knowledge-proof.md	2026-07-31	text/markdown	33216	851214e127b6898bda6f5bc189bd30576b181a935595f0a6905eaba89df21933
